young_tableau,h0,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24,h25,h26,h27,h28,h29,h30
[1],0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
[2],0,1,2,3,6,9,10,11,14,17,18,19,22,25,26,27,30,33,34,35,38,41,42,43,46,49,50,51,54,57,58
"[1, 1]",0,0,2,5,6,7,10,13,14,15,18,21,22,23,26,29,30,31,34,37,38,39,42,45,46,47,50,53,54,55,58
[3],0,0,1,4,8,14,24,35,46,61,79,97,117,140,165,192,220,250,284,319,354,393,435,477,521,568,617,668,720,774,832
"[2, 1]",0,0,2,7,16,30,47,68,94,123,156,194,235,280,330,383,440,502,567,636,710,787,868,954,1043,1136,1234,1335,1440,1550,1663
"[1, 1, 1]",0,0,0,3,9,15,23,34,47,62,78,96,118,141,164,191,221,251,283,318,355,394,434,476,522,569,616,667,721,775,831
[4],0,0,0,1,6,17,33,57,96,149,212,291,395,523,667,832,1034,1269,1523,1807,2139,2512,2911,3346,3839,4383,4957,5574,6261,7008,7790
"[3, 1]",0,0,1,6,19,46,97,178,288,435,634,887,1190,1553,1994,2515,3107,3782,4563,5448,6425,7508,8723,10068,11526,13113,14860,16761,18796,20983,23356
"[2, 2]",0,0,0,2,12,34,66,113,190,298,425,581,790,1047,1333,1663,2067,2537,3047,3614,4277,5025,5822,6690,7677,8766,9914,11148,12522,14016,15580
"[2, 1, 1]",0,0,0,4,17,45,97,177,287,435,633,885,1188,1552,1994,2514,3106,3782,4562,5446,6423,7507,8723,10067,11525,13113,14859,16759,18794,20982,23356
"[1, 1, 1, 1]",0,0,0,0,5,17,32,55,94,148,212,290,394,523,666,830,1032,1268,1523,1806,2138,2512,2910,3344,3837,4382,4957,5573,6260,7008,7789
[5],0,0,0,0,2,10,29,67,132,236,397,626,936,1354,1905,2605,3476,4554,5872,7452,9324,11533,14123,17122,20563,24506,29003,34083,39791,46196,53358
"[4, 1]",0,0,0,2,12,43,118,267,529,951,1584,2492,3748,5427,7615,10408,13908,18225,23477,29790,37299,46147,56482,68463,82259,98041,115991,136302,159171,184804,213415
"[3, 2]",0,0,0,2,14,53,147,334,660,1184,1978,3116,4681,6778,9518,13010,17380,22774,29343,37237,46618,57674,70600,85580,102815,122539,144986,170377,198954,230992,266765
"[3, 1, 1]",0,0,0,2,16,62,171,393,789,1420,2364,3725,5613,8132,11405,15591,20850,27327,35192,44657,55933,69207,84694,102661,123368,147045,173953,204412,238733,277187,320082
"[2, 2, 1]",0,0,0,1,10,47,142,328,651,1176,1971,3106,4669,6765,9504,12996,17364,22757,29328,37220,46597,57653,70579,85557,102791,122515,144962,170352,198926,230962,266736
"[2, 1, 1, 1]",0,0,0,0,7,36,109,257,517,935,1567,2475,3727,5403,7591,10382,13879,18194,23444,29756,37263,46107,56441,68422,82214,97993,115943,136252,159118,184749,213358
"[1, 1, 1, 1, 1]",0,0,0,0,0,7,28,64,125,229,390,617,926,1344,1895,2594,3462,4538,5857,7436,9305,11515,14106,17102,20541,24483,28979,34059,39765,46169,53333
[6],0,0,0,0,0,3,16,49,125,278,539,962,1639,2654,4090,6090,8839,12508,17269,23366,31124,40844,52788,67346,85039,106301,131519,161282,196314,237223,284568
"[5, 1]",0,0,0,0,3,22,89,265,647,1383,2694,4861,8219,13219,20441,30533,44234,62459,86300,116947,155690,204056,263837,336918,425278,531240,657458,806649,981659,1185764,1422623
"[4, 2]",0,0,0,0,7,45,164,471,1162,2509,4859,8714,14771,23832,36805,54883,79571,112483,155356,210366,280140,367385,474931,606233,765346,956354,1183447,1451651,1766763,2134524,2560750
"[4, 1, 1]",0,0,0,1,8,44,175,523,1280,2749,5365,9680,16386,26384,40810,60974,88362,124796,172463,233730,311184,407909,527457,673571,850264,1062182,1314580,1612917,1962908,2371090,2844783
"[3, 3]",0,0,0,1,4,20,89,271,648,1374,2688,4865,8217,13192,20414,30542,44232,62397,86251,116960,155670,203956,263762,336924,425253,531099,657332,806657,981626,1185549,1422453
"[3, 2, 1]",0,0,0,0,9,66,269,815,2028,4382,8550,15430,26160,42177,65240,97439,141264,199623,275846,373763,497719,652573,843783,1077419,1360156,1699368,2103139,2580248,3140273,3793599,4551397
"[3, 1, 1, 1]",0,0,0,0,5,39,161,490,1240,2716,5308,9572,16272,26299,40684,60752,88137,124638,172243,233352,310810,407655,527114,672994,849704,1061808,1314088,1612102,1962125,2370575,2844117
"[2, 2, 2]",0,0,0,0,2,18,78,241,618,1364,2659,4779,8138,13176,20359,30366,44077,62370,86161,116668,155419,203918,263630,336483,424877,531046,657150,806039,981106,1185482,1422212
"[2, 2, 1, 1]",0,0,0,0,2,25,133,440,1108,2404,4741,8621,14632,23583,36544,54691,79303,112025,154896,210044,279707,366659,474216,605744,764704,955295,1182421,1450964,1765876,2133073,2559357
"[2, 1, 1, 1, 1]",0,0,0,0,0,12,68,229,599,1324,2608,4735,8072,13065,20244,30266,43940,62168,85946,116483,155195,203583,263282,336209,424536,530545,656656,805638,980614,1184799,1421528
